Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
sub_B4738	ROM	000B4738	00000034			R	.	.	.	.	.	.	.
sub_B476C	ROM	000B476C	00000070			R	.	.	.	.	.	.	.
sub_B47DC	ROM	000B47DC	000000B6			R	.	.	.	.	.	.	.
sub_B4892	ROM	000B4892	0000018E			R	.	.	.	.	.	.	.
sub_B57E6	ROM	000B57E6	00000052			R	.	.	.	.	.	.	.
sub_B672E	ROM	000B672E	000000A0			R	.	.	.	.	.	.	.
sub_B67CE	ROM	000B67CE	00000054			R	.	.	.	.	.	.	.
sub_B6D5C	ROM	000B6D5C	000000C4			R	.	.	.	.	.	.	.
sub_B6E20	ROM	000B6E20	0000001A	0000000C		R	.	.	.	.	B	.	.
sub_B6E3A	ROM	000B6E3A	000000DA			R	.	.	.	.	.	.	.
sub_B6F14	ROM	000B6F14	0000005A			R	.	.	.	.	.	.	.
sub_B8616	ROM	000B8616	00000038			R	.	.	.	.	.	.	.
sub_B8732	ROM	000B8732	0000006A			R	.	.	.	.	.	.	.
sub_B87E0	ROM	000B87E0	000000AE			R	.	.	.	.	.	.	.
sub_B888E	ROM	000B888E	00000056			R	.	.	.	.	.	.	.
sub_B88E4	ROM	000B88E4	00000036			R	.	.	.	.	.	.	.
sub_B8B74	ROM	000B8B74	000000A6			R	.	.	.	.	.	.	.
sub_B8DE2	ROM	000B8DE2	0000010A			R	.	.	.	.	.	.	.
sub_B94CC	ROM	000B94CC	00000102	0000002C		R	.	.	.	.	B	.	.
sub_B95CE	ROM	000B95CE	0000007E			R	.	.	.	.	.	.	.
sub_B9936	ROM	000B9936	00000120	0000002C		R	.	.	.	.	B	.	.
sub_BA1B0	ROM	000BA1B0	00000046	00000014		R	.	.	.	.	B	.	.
sub_BA8B2	ROM	000BA8B2	00000068	00000020		R	.	.	.	.	B	.	.
sub_BA91A	ROM	000BA91A	0000007A	0000001C		R	.	.	.	.	B	.	.
ASCII_to_BigFont	ROM	000BACBA	00000258			R	.	.	.	.	.	.	.
Load_Coral	ROM	000BAF12	00000024			R	.	.	.	.	.	.	.
Wierd_Water_Ripple	ROM	000BAF36	0000009E			R	.	.	.	.	.	.	.
sub_BAFD4	ROM	000BAFD4	00000076			R	.	.	.	.	.	.	.
sub_BB04A	ROM	000BB04A	000000D4			R	.	.	.	.	.	.	.
sub_BB11E	ROM	000BB11E	0000009E			R	.	.	.	.	.	.	.
sub_BB1BC	ROM	000BB1BC	00000088			R	.	.	.	.	.	.	.
sub_BB244	ROM	000BB244	0000006E			R	.	.	.	.	.	.	.
SEGA_logo	ROM	000BB2B2	000001E6			R	.	.	.	.	.	.	.
sub_BB498	ROM	000BB498	000001B6			R	.	.	.	.	.	.	.
sub_BB64E	ROM	000BB64E	0000008A	000006D0		R	.	.	.	.	B	.	.
sub_BB6D8	ROM	000BB6D8	00000056			R	.	.	.	.	.	.	.
sub_BB72E	ROM	000BB72E	00000034			R	.	.	.	.	.	.	.
Print_InGame_Msgs	ROM	000BB762	00000588	00000CE0		R	.	.	.	.	B	.	.
sub_BBCEA	ROM	000BBCEA	0000003A			R	.	.	.	.	.	.	.
sub_BBD24	ROM	000BBD24	0000004A			R	.	.	.	.	.	.	.
sub_BBD6E	ROM	000BBD6E	000004AC	00000050		R	.	.	.	.	B	.	.
sub_BC39C	ROM	000BC39C	000000A0			R	.	.	.	.	.	.	.
VortexMeteorCrash	ROM	000BF5D6	00000168			R	.	.	.	.	.	.	.
sub_BFB06	ROM	000BFB06	000000BC			R	.	.	.	.	.	.	.
sub_C0002	ROM	000C0002	000000EE			R	.	.	.	.	.	.	.
sub_C22E6	ROM	000C22E6	00000236			R	.	.	.	.	.	.	.
sub_C2C06	ROM	000C2C06	000000B2	00000014		R	.	.	.	.	B	.	.
sub_C3CBC	ROM	000C3CBC	000000FC			R	.	.	.	.	.	.	.
sub_C4104	ROM	000C4104	0000002A	00000008		R	.	.	.	.	.	.	.
sub_C4370	ROM	000C4370	00000064			R	.	.	.	.	.	.	.
sub_C478A	ROM	000C478A	0000008C			R	.	.	.	.	.	.	.
sub_C4BB2	ROM	000C4BB2	00000016			R	.	.	.	.	.	.	.
sub_C4BC8	ROM	000C4BC8	00000B70	000000F8		R	.	.	.	.	B	.	.
Title_Screen_end	ROM	000C584E	000005B0	000000EC		R	.	.	.	.	B	.	.
