Name	Address	Public
jpt_E0B4E	000E0B52	
def_E0B4E	000E0BEA	
jpt_E1564	000E1568	
def_E1564	000E1696	
jpt_E1BFA	000E1BFE	
def_E1BFA	000E1FFE	
jpt_E65E4	000E65E8	
def_E65E4	000E65F8	
BGlyph_Script	000E6F58	
HBay_Script	000E7078	
BaTimes_Script	000E7218	
TMach_Script	000E7318	
ThePod_Script	000E7348	
aS04x04x	000E75DA	
jpt_E83F0	000E83F4	
def_E83F0	000E8796	
PrintF_2	000E87F8	
PrintF_1	000E87FC	
PrintF_0	000E8800	
PrintF_dec	000E9D5C	
Hex_to_decimal	000EA30C	
ReadOnlyDPAD	000EB70C	
ReadController	000EB73E	
ReadDPADs	000EB76E	
ReadControlPads	000EB7C2	
Get_Pads_Held	000EB80C	
DynTileScrollPrepare	000EB818	
DumpRegisters	000EB978	
ReadDumpRegisters	000EB988	
VDP_regs_EBA66	000EBA66	
Palettes_EBA7A	000EBA7A	
SET_VDP_REGISTERS	000EBB9C	
ClearScroll	000EBBBC	
Set_64x32cells	000EBBF8	
CopyMeta	000EBC6A	
CopyID	000EBC7E	
Load_3D_Tiles	000EBC9A	
Set_VDP_REGISTERS_AND_MAYBE_MORE	000EC008	
ClearPaletteBuffer	000EC0D6	
ClearSpriteTable	000EC0E8	
Load_Structure	000EC0FC	
WriteColor0	000EC230	
SetVRAMWrite	000EC244	
SetCRAMWrite	000EC25C	
SetVSRAMWrite	000EC274	
Transfer_to_VDP	000EC332	
Fill_to_VDP	000EC34A	
SetVRAMRead	000EC362	
SetCRAMRead	000EC376	
SetVSRAMRead	000EC38E	
Transfer_from_VDP	000EC43C	
VRAM_DMA	000EC454	
LayoutDecompressor_S	000EC4D4	
LayoutDecompressor	000EC4DC	
Load_2bpp_Font	000EC584	
Add_Background_Data_loc_EC5E8	000EC5E8	
FirstLevelBlock	000ECBD0	
VDP_Reg_ECC0a	000ECC0A	
Pal_ECC9E	000ECC9E	
Pal_ECD1E	000ECD1E	
Pal_ECD9E	000ECD9E	
Pal_ECF1E	000ECF1E	
Pal_ECF9E	000ECF9E	
Pal_ED01E	000ED01E	
Pal_ED19E	000ED19E	
Pal_ED21E	000ED21E	
Pal_ED29E	000ED29E	
Pal_ED31E	000ED31E	
Pal_ED39E	000ED39E	
Pal_ED41E	000ED41E	
